Temperature,Crab,ShellGrowth.mg,DryTissueGrowth.mg
hot,crab,7.7275,-2.0771835
hot,crab,9.273,0.8412198
hot,crab,13.9095,-1.0661103
hot,no crab,20.0915,2.8764429
hot,no crab,41.7285,3.6992691
hot,no crab,,
hot,no crab,17.0005,1.1207163
ambient,crab,21.637,3.2082462
ambient,crab,35.5465,1.4523759
ambient,crab,7.7275,-0.7264035
ambient,crab,18.546,1.4237796
ambient,no crab,86.548,15.8506848
ambient,no crab,188.551,23.3222226
ambient,no crab,108.185,20.639631
ambient,no crab,105.094,15.5213244
hot,crab,18.546,0.6190596
hot,crab,,
hot,crab,,
hot,crab,,
hot,no crab,,
hot,no crab,,
hot,no crab,,
hot,no crab,,
ambient,crab,37.092,5.9802192
ambient,crab,29.3645,2.9416827
ambient,crab,18.546,0.3891396
ambient,crab,20.0915,5.0606829
ambient,no crab,43.274,9.7790724
ambient,no crab,74.184,12.5352384
ambient,no crab,140.6405,22.7217003
ambient,no crab,63.3655,10.8736353
hot,crab,3.091,-1.0033134
hot,crab,12.364,1.3611264
hot,crab,3.091,-0.5147334
hot,crab,7.7275,1.1416965
hot,no crab,,
hot,no crab,9.273,-0.2509002
hot,no crab,,
hot,no crab,15.455,0.875133
ambient,crab,15.455,2.886933
ambient,crab,15.455,2.254653
ambient,crab,9.273,0.2089398
ambient,crab,29.3645,4.0050627
ambient,no crab,51.0015,10.3172289
ambient,no crab,44.8195,7.4955357
ambient,no crab,29.3645,3.8038827
ambient,no crab,83.457,18.8945382
hot,crab,21.637,2.8921062
hot,crab,-58.729,-3.5266854
hot,crab,21.637,3.8692662
hot,crab,43.274,-0.3086676
hot,no crab,21.637,1.6850262
hot,no crab,4.6365,1.4552499
hot,no crab,17.0005,3.4773963
hot,no crab,66.4565,12.1695219
