plot,date,day_num,year,veg,treatment,N_ppm
17,2/10/14,436,2014,Native,0.5,54.4204
18,2/10/14,436,2014,Exotic,0.5,92.5089
19,2/10/14,436,2014,Native,1,81.2999
20,2/10/14,436,2014,Exotic,1,32.0104
21,2/10/14,436,2014,Native,1.5,196.3624
22,2/10/14,436,2014,Exotic,1.5,32.609
1,4/17/14,502,2014,Native,0.5,52.5734
2,4/17/14,502,2014,Exotic,0.5,86.5471
3,4/17/14,502,2014,Native,1,52.1031
4,4/17/14,502,2014,Exotic,1,42.8031
5,4/17/14,502,2014,Native,0.5,46.1164
6,4/17/14,502,2014,Exotic,0.5,59.0983
7,4/17/14,502,2014,Native,1.5,31.3765
8,4/17/14,502,2014,Exotic,1.5,30.236
13,4/17/14,502,2014,Native,1,31.3088
14,4/17/14,502,2014,Exotic,1,28.6757
15,4/17/14,502,2014,Native,1.5,38.8107
16,4/17/14,502,2014,Exotic,1.5,12.1386
17,4/17/14,502,2014,Native,0.5,16.6867
18,4/17/14,502,2014,Exotic,0.5,29.312
19,4/17/14,502,2014,Native,1,28.6472
20,4/17/14,502,2014,Exotic,1,16.2515
21,4/17/14,502,2014,Native,1.5,50.173
22,4/17/14,502,2014,Exotic,1.5,27.2982
1,5/31/14,546,2014,Native,0.5,27.4628
2,5/31/14,546,2014,Exotic,0.5,13.5916
3,5/31/14,546,2014,Native,1,24.5192
4,5/31/14,546,2014,Exotic,1,17.2325
5,5/31/14,546,2014,Native,0.5,13.7514
6,5/31/14,546,2014,Exotic,0.5,40.6144
7,5/31/14,546,2014,Native,1.5,28.2485
8,5/31/14,546,2014,Exotic,1.5,29.5199
13,5/31/14,546,2014,Native,1,101.5545
14,5/31/14,546,2014,Exotic,1,20.3922
15,5/31/14,546,2014,Native,1.5,99.9887
16,5/31/14,546,2014,Exotic,1.5,67.1684
17,5/31/14,546,2014,Native,0.5,68.654
18,5/31/14,546,2014,Exotic,0.5,55.9475
19,5/31/14,546,2014,Native,1,88.0399
20,5/31/14,546,2014,Exotic,1,61.4572
21,5/31/14,546,2014,Native,1.5,91.8774
22,5/31/14,546,2014,Exotic,1.5,57.0872
1,12/21/14,750,2015,Native,0.5,51.14469654
2,12/21/14,750,2015,Exotic,0.5,43.58195068
3,12/21/14,750,2015,Native,1,.
4,12/21/14,750,2015,Exotic,1,23.83544041
5,12/21/14,750,2015,Native,0.5,36.53803065
6,12/21/14,750,2015,Exotic,0.5,30.62686921
7,12/21/14,750,2015,Native,1.5,29.51312364
8,12/21/14,750,2015,Exotic,1.5,11.4597959
9,12/21/14,750,2015,Native,1,12.3347664
10,12/21/14,750,2015,Exotic,1,26.62653512
11,12/21/14,750,2015,Native,1,42.57126237
12,12/21/14,750,2015,Exotic,1,22.62325996
13,12/21/14,750,2015,Native,1,23.62222771
14,12/21/14,750,2015,Exotic,1,18.45894682
15,12/21/14,750,2015,Native,1.5,36.76227411
16,12/21/14,750,2015,Exotic,1.5,14.81312995
17,12/21/14,750,2015,Native,0.5,42.66810458
18,12/21/14,750,2015,Exotic,0.5,40.10138212
19,12/21/14,750,2015,Native,1,37.21846518
20,12/21/14,750,2015,Exotic,1,18.12450497
21,12/21/14,750,2015,Native,1.5,.
22,12/21/14,750,2015,Exotic,1.5,25.62466651
1,3/26/15,845,2015,Native,0.5,43.47405596
2,3/26/15,845,2015,Exotic,0.5,50.23535345
3,3/26/15,845,2015,Native,1,53.58009912
4,3/26/15,845,2015,Exotic,1,29.86558876
5,3/26/15,845,2015,Native,0.5,43.82324461
6,3/26/15,845,2015,Exotic,0.5,52.8419275
7,3/26/15,845,2015,Native,1.5,37.36886363
8,3/26/15,845,2015,Exotic,1.5,24.93644407
9,3/26/15,845,2015,Native,1,16.6428576
10,3/26/15,845,2015,Exotic,1,46.58048374
11,3/26/15,845,2015,Native,1,38.90840398
12,3/26/15,845,2015,Exotic,1,53.39468294
13,3/26/15,845,2015,Native,1,36.32055685
14,3/26/15,845,2015,Exotic,1,68.59499047
15,3/26/15,845,2015,Native,1.5,55.06322848
16,3/26/15,845,2015,Exotic,1.5,.
17,3/26/15,845,2015,Native,0.5,26.56828353
18,3/26/15,845,2015,Exotic,0.5,17.61708524
19,3/26/15,845,2015,Native,1,35.91879894
20,3/26/15,845,2015,Exotic,1,19.88976678
21,3/26/15,845,2015,Native,1.5,78.77837432
22,3/26/15,845,2015,Exotic,1.5,49.89642212
